iter	Passed	Remaining
776	3089	886
777	3093	882
778	3097	878
779	3100	874
780	3104	870
781	3108	866
782	3112	862
783	3115	858
784	3119	854
785	3123	850
786	3126	846
787	3130	842
788	3134	838
789	3137	834
790	3141	830
791	3145	826
792	3148	821
793	3152	817
794	3156	813
795	3159	809
796	3163	805
797	3166	801
798	3170	797
799	3174	793
800	3177	789
801	3181	785
802	3185	781
803	3189	777
804	3192	773
805	3196	769
806	3200	765
807	3203	761
808	3207	757
809	3211	753
810	3215	749
811	3219	745
812	3222	741
813	3226	737
814	3230	733
815	3234	729
816	3237	725
817	3241	721
818	3245	717
819	3249	713
820	3252	709
821	3256	705
822	3259	701
823	3263	697
824	3266	692
825	3270	689
826	3274	684
827	3278	680
828	3281	676
829	3285	672
830	3289	668
831	3293	664
832	3296	660
833	3300	656
834	3304	652
835	3308	648
836	3311	644
837	3315	640
838	3318	636
839	3322	632
840	3326	628
841	3330	624
842	3333	620
843	3337	616
844	3341	612
845	3345	608
846	3348	604
847	3352	600
848	3356	596
849	3359	592
850	3363	588
851	3367	584
852	3371	580
853	3375	577
854	3378	573
855	3382	569
856	3386	565
857	3389	561
858	3393	557
859	3397	553
860	3400	549
861	3404	545
862	3408	541
863	3412	537
864	3415	533
865	3419	529
866	3423	525
867	3426	521
868	3430	517
869	3434	513
870	3438	509
871	3442	505
872	3445	501
873	3449	497
874	3453	493
875	3457	489
876	3460	485
877	3464	481
878	3468	477
879	3472	473
880	3476	469
881	3479	465
882	3483	461
883	3488	457
884	3492	453
885	3495	449
886	3499	445
887	3502	441
888	3506	437
889	3510	433
890	3513	429
891	3517	425
892	3521	421
893	3524	417
894	3528	413
895	3531	409
896	3535	405
897	3538	401
898	3542	397
899	3546	394
900	3550	390
901	3554	386
902	3557	382
903	3561	378
904	3565	374
905	3569	370
906	3573	366
907	3577	362
908	3580	358
909	3584	354
910	3588	350
911	3592	346
912	3596	342
913	3599	338
914	3603	334
915	3606	330
916	3610	326
917	3614	322
918	3619	318
919	3623	315
920	3628	311
921	3631	307
922	3635	303
923	3640	299
924	3643	295
925	3647	291
926	3651	287
927	3655	283
928	3660	279
929	3664	275
930	3669	271
931	3674	268
932	3678	264
933	3682	260
934	3687	256
935	3692	252
936	3697	248
937	3701	244
938	3707	240
939	3711	236
940	3714	232
941	3718	228
942	3723	225
943	3727	221
944	3731	217
945	3735	213
946	3739	209
947	3743	205
948	3747	201
949	3751	197
950	3755	193
951	3760	189
952	3764	185
953	3769	181
954	3773	177
955	3777	173
956	3781	169
957	3784	165
958	3790	162
959	3794	158
960	3798	154
961	3802	150
962	3808	146
963	3812	142
964	3815	138
965	3821	134
966	3826	130
967	3831	126
968	3838	122
969	3842	118
970	3846	114
971	3851	110
972	3856	107
973	3860	103
974	3864	99
975	3868	95
976	3873	91
977	3877	87
978	3881	83
979	3886	79
980	3890	75
981	3894	71
982	3898	67
983	3902	63
984	3907	59
985	3910	55
986	3914	51
987	3920	47
988	3923	43
989	3927	39
990	3931	35
991	3936	31
992	3941	27
993	3945	23
994	3949	19
995	3954	15
996	3958	11
997	3962	7
998	3966	3
999	3970	0
